,soc_bid_1
0,54.181305
1,54.24454
2,54.10945
3,54.126705
4,54.33514
5,54.214832
6,54.155262
7,54.17499
8,54.153793
9,54.39537
10,54.370987
11,54.268764
12,54.113205
13,54.09871
14,54.316772
15,54.468697
16,54.31864
17,54.32195
18,54.517555
19,54.675114
20,54.769844
21,55.028667
22,55.05293
23,55.0152
24,55.05868
25,55.04527
26,55.330162
27,55.36543
28,55.331913
29,55.556896
30,55.575195
31,55.301334
32,55.263237
33,55.16385
34,55.051037
35,54.929028
36,54.656178
37,54.658672
38,54.51716
39,54.12158
40,53.5477
41,52.867435
42,52.51779
43,52.188843
44,52.095863
45,52.000057
46,51.886086
47,51.990585
48,51.85005
49,51.812794
50,51.758022
51,51.746082
52,51.54243
53,51.206703
54,50.82532
55,50.665756
56,50.56546
57,50.578835
58,50.525063
59,50.468895
60,50.533237
61,50.496815
62,50.59355
63,50.80146
64,51.185284
65,51.72858
66,52.144867
67,52.145252
68,52.673717
69,52.430763
70,52.38285
71,52.431187
72,52.378574
73,52.082245
74,51.50789
75,51.224316
76,50.77852
77,50.19758
78,49.39725
79,48.812233
80,48.00291
81,47.398964
82,46.821846
83,45.999283
84,45.070347
85,44.22634
86,43.007313
87,42.234806
88,41.244976
89,40.420467
90,39.876076
91,39.282352
92,38.596546
93,38.159935
94,37.4779
95,37.625095
96,38.896473
97,39.752804
98,40.932518
99,42.266808
100,41.89523
101,39.96646
102,38.582836
103,38.064674
104,37.789528
105,37.42032
106,36.726395
107,36.282635
108,35.028667
109,32.771797
110,30.325415
111,28.791191
112,27.984167
113,27.690193
114,27.717018
115,27.845905
116,27.899439
117,27.875788
118,28.322912
119,29.258728
120,29.579422
121,30.151674
122,30.604769
123,30.831188
124,30.628778
125,30.827578
126,31.039583
127,31.355858
128,31.772615
129,31.998825
130,32.49239
131,32.972878
132,32.26628
133,30.677326
134,29.148487
135,29.416615
136,30.079134
137,30.964998
138,32.114227
139,32.595985
140,32.56488
141,32.24423
142,31.732922
143,31.091581
144,30.90595
145,30.85271
146,30.710197
147,30.895815
148,30.460606
149,30.116716
150,29.415894
151,29.004463
152,29.637459
153,30.358498
154,30.690607
155,31.170311
156,31.731491
157,31.85043
158,31.919794
159,31.981068
160,31.841919
161,32.21571
162,32.726982
163,33.61936
164,34.78008
165,35.528763
166,36.756763
167,37.886112
168,38.814884
169,39.561607
170,40.42352
171,42.083195
172,43.21217
173,44.269962
174,45.31668
175,46.364456
176,47.600777
177,48.36707
178,47.984386
179,48.38715
180,47.789673
181,49.659946
182,50.399113
183,53.91424
184,57.609764
185,60.229507
186,60.85327
187,61.939865
188,62.105846
189,62.2079
190,63.81104
191,63.815994
192,63.354523
193,63.29752
194,62.590797
195,62.01161
196,61.163013
197,60.89675
198,60.450706
199,59.895206
200,59.6792
201,59.31626
202,58.958996
203,58.388565
204,57.950714
205,57.58602
206,59.44219
207,60.962765
208,61.704502
209,62.11065
210,62.180737
211,61.816837
212,60.977673
213,60.712013
214,60.635162
215,60.410553
216,60.190907
217,60.236496
218,60.156216
219,60.067307
220,60.306828
221,60.598854
222,60.665142
223,60.64623
224,60.591763
225,60.59204
226,60.591362
227,60.554012
228,60.500797
229,60.66644
230,60.76942
231,60.57284
232,60.613262
233,60.364567
234,60.305458
235,60.42671
236,60.30153
237,60.1255
238,60.01373
239,59.694054
240,59.360672
241,59.20956
242,58.939125
243,58.902256
244,58.923737
245,58.77635
246,58.56135
247,58.35488
248,58.393257
249,58.526047
250,58.46029
251,58.2631
252,58.199833
253,58.46851
254,58.91891
255,59.1638
256,59.36709
257,60.372635
258,61.171318
259,61.024868
260,61.51836
261,61.95966
262,62.673374
263,59.278534
264,56.714245
265,55.349625
266,54.603745
267,54.04479
268,53.80477
269,53.643
270,53.522808
271,53.580788
272,53.67229
273,53.748238
274,53.960182
275,53.964012
276,54.203873
277,54.186535
278,54.32403
279,54.272198
280,54.324654
281,54.636944
282,54.818554
283,54.896484
284,54.99424
285,55.133236
286,55.37866
287,55.376637
288,55.63166
289,55.582054
290,55.550472
291,55.54518
292,55.486828
293,55.491405
294,55.305035
295,55.4112
296,55.499325
297,55.510876
298,55.42433
299,55.26742
300,55.460934
301,55.50335
302,55.46796
303,55.170143
304,55.32144
305,55.57341
306,55.617607
307,55.835777
308,55.86407
309,55.80253
310,55.5825
311,55.389523
312,55.105717
313,55.0011
314,54.915928
315,55.190483
316,55.064808
317,55.01781
318,55.41794
319,55.280575
320,55.442387
321,55.49986
322,55.46938
323,55.616013
324,55.65016
325,55.415577
326,55.04885
327,54.774033
328,54.471752
329,54.062626
330,53.94202
331,53.689674
332,53.348286
333,53.146793
334,52.948124
335,52.9992
336,53.318134
337,53.449844
338,53.29379
339,53.180344
340,53.145786
341,53.0049
342,52.97957
343,52.91131
344,52.690136
345,52.44036
346,52.47838
347,52.370094
348,52.280293
349,52.418148
350,52.48828
351,52.497353
352,52.72665
353,52.960377
354,53.14623
355,53.529964
356,54.047638
357,54.16829
358,54.752945
359,54.842175
360,54.76608
361,54.635967
362,54.615143
363,54.1243
364,53.436474
365,52.880436
366,52.253178
367,51.073048
368,49.991493
369,49.626675
370,53.030865
371,55.836964
372,57.79501
373,59.04074
374,59.720356
375,59.47137
376,58.489506
377,57.899044
378,53.998096
379,50.532436
380,46.979748
381,45.10055
382,43.72927
383,42.740913
384,42.496338
385,42.478825
386,43.531845
387,44.96901
388,46.09809
389,46.888283
390,48.006626
391,48.941097
392,50.012554
393,51.361908
394,52.792007
395,54.290695
396,53.018543
397,51.651424
398,49.1492
399,46.646774
400,45.666893
401,44.6279
402,44.47723
403,44.597755
404,44.8879
405,45.645714
406,45.965137
407,46.19123
408,46.135128
409,47.232662
410,47.677143
411,48.29864
412,48.97582
413,49.309307
414,49.570644
415,50.387417
416,50.95292
417,50.92369
418,51.11462
419,51.699337
420,52.238247
421,53.263443
422,54.36266
423,54.981865
424,56.17398
425,57.039215
426,57.885582
427,58.558834
428,59.712597
429,60.642574
430,61.198364
431,61.792984
432,62.079765
433,62.387707
434,62.832882
435,63.46242
436,63.430717
437,63.765923
438,63.439022
439,63.202637
440,63.41049
441,63.390915
442,63.714912
443,63.6269
444,64.25665
445,65.09282
446,65.87015
447,66.243416
448,66.71972
449,67.03253
450,67.409294
451,67.69453
452,67.579475
453,67.96647
454,68.23859
455,68.41527
456,68.419685
457,68.47233
458,69.322945
459,69.34327
460,69.59189
461,69.99427
462,70.24348
463,70.21353
464,70.114105
465,69.92017
466,69.293106
467,69.17309
468,68.73547
469,68.77025
470,70.02727
471,70.98043
472,71.6817
473,71.81865
474,71.520454
475,71.35058
476,70.17638
477,68.87695
478,68.66161
479,68.5811
480,68.5669
481,68.79517
482,68.82036
483,69.0186
484,69.326775
485,69.50807
486,70.05295
487,70.39482
488,70.49878
489,70.72352
490,71.47422
491,71.013695
492,72.53001
493,71.91123
494,72.786446
495,73.31785
496,73.20889
497,73.24693
498,73.34383
499,72.958145
500,72.24148
501,71.632706
502,71.020355
503,70.68771
504,70.961395
505,70.378624
506,70.50578
507,69.852394
508,69.49263
509,69.46356
510,69.072235
511,68.26267
512,68.1072
513,67.76304
514,67.24144
515,67.46507
516,67.52596
517,67.73156
518,67.62348
519,67.42871
520,67.32344
521,67.59726
522,68.030876
523,68.42203
524,68.45449
525,68.26224
526,68.60736
527,69.02341
528,69.353035
529,69.426346
530,69.44717
531,69.006325
532,68.92047
533,68.67244
534,68.37322
535,67.76176
536,67.10482
537,62.43755
538,59.052402
539,56.9504
540,55.75045
541,54.96206
542,54.19271
543,54.049664
544,53.934902
545,54.335815
546,54.551334
547,54.604424
548,54.92195
549,55.789955
550,56.997936
551,57.114567
552,57.29846
553,57.131767
554,57.231544
555,57.347378
556,57.500484
557,57.48739
558,57.564766
559,57.754898
560,57.996265
561,58.03651
562,57.980812
563,58.09041
564,58.013447
565,57.981266
566,57.970543
567,57.977962
568,57.885532
569,57.882736
570,58.030277
571,58.037846
572,57.999775
573,58.06299
574,58.072998
575,58.053764
576,58.01803
577,58.00314
578,58.21214
579,58.141075
580,58.177563
581,58.11933
582,58.379868
583,58.662132
584,58.615345
585,58.461742
586,58.274208
587,58.238224
588,58.170536
589,58.153027
590,57.87632
591,57.78358
592,57.742992
593,57.514038
594,57.60814
595,57.441284
596,57.28042
597,56.925396
598,56.9563
599,56.961464
600,56.98254
601,57.093903
602,57.009556
603,57.027325
604,57.11215
605,57.143017
606,57.231308
607,57.189995
608,57.339203
609,57.349873
610,57.614758
611,57.52138
612,57.3953
613,57.424248
614,57.695717
615,57.617123
616,57.767014
617,57.771904
618,57.446274
619,56.91664
620,56.544853
621,56.391422
622,56.362846
623,56.13225
624,56.164722
625,56.324173
626,56.497738
627,56.271362
628,56.35066
629,56.363457
630,56.207607
631,56.1202
632,56.44598
633,56.630238
634,56.542282
635,56.554367
636,56.620464
637,56.72394
638,56.87073
639,57.134678
640,56.85155
641,57.017002
642,57.37929
643,57.76496
644,57.69672
645,57.875763
646,57.823475
647,57.72276
648,57.45167
649,57.111618
650,56.937706
651,56.567074
652,56.374466
653,55.720737
654,55.65028
655,55.22316
656,54.723602
657,53.97462
658,53.843018
659,53.64084
660,53.78973
661,53.98816
662,53.687767
663,54.206978
664,54.927597
665,55.73497
666,55.560284
667,55.509132
668,55.304237
669,55.287697
670,55.278976
671,55.38222
672,55.60693
673,55.62575
674,55.287453
675,55.06006
676,55.318863
677,55.531986
678,55.936268
679,56.30251
680,56.67657
681,55.478867
682,54.03215
683,53.173588
684,52.186367
685,51.743988
686,51.424786
687,50.778072
688,50.3141
689,50.33916
690,49.903446
691,49.526978
692,49.718918
693,48.443115
694,47.335217
695,46.58584
696,48.08372
697,49.19749
698,49.020176
699,48.616493
700,47.147106
701,45.556496
702,44.347034
703,43.646942
704,43.321957
705,42.202415
706,41.710365
707,41.356625
708,41.28783
709,41.54125
710,40.682125
711,40.20601
712,39.081566
713,38.39796
714,37.901943
715,37.718857
716,37.667423
717,38.306137
718,38.95281
719,39.429977
720,40.26563
721,40.68152
722,39.9213
723,39.480816
724,39.232567
725,38.65392
726,38.22253
727,37.705856
728,37.338352
729,36.99923
730,36.981384
731,36.649994
732,36.760387
733,37.098225
734,37.15253
735,37.59856
736,38.033646
737,38.6623
738,39.146935
739,39.249725
740,39.3015
741,40.09331
742,40.504776
743,40.678967
744,41.090874
745,42.628906
746,43.828053
747,44.775288
748,45.46178
749,46.114296
750,46.527634
751,46.544975
752,46.61612
753,46.534687
754,46.263374
755,47.19387
756,47.50519
757,50.213814
758,53.27503
759,56.23192
760,58.371517
761,59.52072
762,59.966694
763,60.532555
764,60.384106
765,60.620926
766,62.11203
767,63.217686
768,63.60672
769,63.973213
770,63.652653
771,63.879086
772,63.902973
773,63.511055
774,62.96906
775,61.853905
776,60.726074
777,59.76909
778,58.526398
779,56.883656
780,56.364914
781,55.981163
782,55.488598
783,55.31485
784,57.6644
785,59.457287
786,61.033157
787,61.910267
788,62.00971
789,61.812744
790,62.032467
791,61.969727
792,61.827602
793,61.70522
794,61.551403
795,61.545635
796,61.426933
797,61.19618
798,61.136665
799,60.914066
800,60.902966
801,61.230556
802,61.5713
803,61.30512
804,61.462738
805,61.434834
806,61.47039
807,61.289215
808,61.475365
809,61.2554
810,61.109188
811,61.016117
812,60.54871
813,60.42426
814,57.633385
815,55.706196
816,54.103397
817,52.900864
818,52.471214
819,52.589188
820,53.134445
821,53.316452
822,53.545166
823,54.244003
824,55.31335
825,55.58105
826,55.70023
827,55.76991
828,55.55884
829,55.558315
830,55.663353
831,55.701866
832,55.99813
833,55.70185
834,55.21041
835,55.259785
836,54.972725
837,55.277454
838,55.51248
839,54.657646
840,54.183876
841,54.005028
842,54.23082
843,54.460293
844,54.493687
845,54.274746
846,54.185204
847,54.382675
848,54.58391
849,54.722675
850,54.75261
851,54.8929
852,55.002827
853,54.866035
854,54.886154
855,55.275
856,55.50035
857,55.546715
858,55.603806
859,56.023582
860,56.3535
861,56.489468
862,56.61947
863,56.49371
864,56.543354
865,56.467506
866,56.5877
867,56.69061
868,56.53691
869,56.66542
870,56.369137
871,56.167835
872,55.807323
873,55.483643
874,55.407074
875,55.406296
876,55.469093
877,55.416298
878,55.128105
879,54.972923
880,54.899586
881,54.76187
882,54.602734
883,54.69976
884,54.380028
885,54.411434
886,54.325653
887,54.437096
888,54.576553
889,54.20816
890,54.22416
891,54.38947
892,54.278984
893,54.26062
894,54.160664
895,54.084946
896,53.823105
897,53.8596
898,53.884155
899,53.964813
900,53.96805
901,54.11311
902,54.290516
903,54.272438
904,53.95968
905,53.669334
906,53.68516
907,53.57012
908,53.678574
909,53.852257
910,53.700703
911,53.732906
912,53.639374
913,53.45258
914,53.16437
915,52.8264
916,52.83212
917,52.846317
918,52.837845
919,52.670788
920,52.834015
921,52.849247
922,52.67577
923,52.45206
924,52.18127
925,52.233868
926,52.2192
927,52.231388
928,52.2644
929,52.496895
930,52.736862
931,52.72252
932,52.4439
933,52.576923
934,53.003387
935,53.265247
936,53.53568
937,54.080956
938,54.338585
939,54.617943
940,54.5655
941,54.64294
942,54.765293
943,54.847775
944,54.67305
945,54.590668
946,54.239365
947,53.78758
948,53.593765
949,52.872074
950,52.417057
951,52.499977
952,52.2403
953,51.90565
954,51.131073
955,51.2576
956,51.37709
957,50.924175
958,50.47616
959,50.354317
960,50.255795
961,49.858795
962,49.712326
963,49.41623
964,49.458046
965,49.959755
966,50.329033
967,50.82082
968,51.67259
969,52.00125
970,52.077236
971,52.19469
972,52.488785
973,51.411976
974,49.8362
975,47.80382
976,46.83299
977,45.538517
978,44.900333
979,44.774635
980,44.90514
981,44.15456
982,43.35362
983,43.2324
984,44.1594
985,45.45679
986,46.841084
987,47.79459
988,48.75418
989,49.595367
990,50.10869
991,50.470394
992,51.011097
993,50.816742
994,50.928455
995,51.079857
996,51.546608
997,52.16108
998,52.866383
999,51.553833
1000,50.99489
1001,50.005688
1002,48.169662
1003,47.835567
1004,48.03319
1005,47.464005
1006,47.241787
1007,47.217636
1008,48.12374
1009,47.631874
1010,46.169174
1011,46.19606
1012,44.938576
1013,43.622913
1014,44.20381
1015,43.495518
1016,42.6859
1017,42.220123
1018,42.181816
1019,41.784435
1020,42.03127
1021,42.213314
1022,42.980534
1023,43.091915
1024,42.998848
1025,43.51689
1026,43.61485
1027,43.47689
1028,43.559635
1029,44.25539
1030,44.575817
1031,44.922516
1032,45.143173
1033,45.338146
1034,47.1765
1035,50.17144
1036,52.488747
1037,55.20225
1038,56.841564
1039,59.64954
1040,61.224823
1041,62.832573
1042,63.641357
1043,63.7194
1044,63.3928
1045,63.352997
1046,63.51233
1047,63.353374
1048,62.740623
1049,62.476696
1050,62.722862
1051,63.664707
1052,63.834286
1053,63.935867
1054,64.10864
1055,63.91073
1056,63.959713
1057,63.93277
1058,63.863525
1059,64.00748
1060,64.04685
1061,64.27333
1062,64.29706
1063,64.15638
1064,63.69887
1065,63.15929
1066,62.071854
1067,61.316395
1068,60.86236
1069,63.13454
1070,66.438255
1071,68.62246
1072,69.19642
1073,69.48038
1074,69.14948
1075,68.52672
1076,67.53513
1077,66.61083
1078,65.61434
1079,64.76
1080,64.07249
1081,63.84181
1082,62.8591
1083,62.64058
1084,62.40191
1085,62.461708
1086,62.504917
1087,62.369797
1088,62.612206
1089,62.628956
1090,62.577137
1091,62.299713
1092,62.44352
1093,62.657837
1094,62.58666
1095,62.497047
1096,62.87701
1097,62.87294
1098,62.856644
1099,63.299713
1100,63.975765
1101,64.74984
1102,64.73945
1103,64.57044
1104,64.66669
1105,64.76064
1106,64.53157
1107,64.429344
1108,64.400276
1109,64.490265
1110,64.68388
1111,64.69288
1112,64.59524
1113,64.47678
1114,64.24028
1115,64.06309
1116,64.108536
1117,64.48358
1118,64.788895
1119,65.01054
1120,65.422714
1121,65.88207
1122,63.023975
1123,60.754044
1124,58.562164
1125,57.75165
1126,57.220505
1127,56.22131
1128,55.905552
1129,55.534706
1130,55.21069
1131,54.649204
1132,54.982475
1133,55.2568
1134,55.4341
1135,55.744102
1136,55.91304
1137,55.815742
1138,55.663708
1139,55.852783
1140,55.98783
1141,56.065468
1142,55.9954
1143,56.06866
1144,56.17444
1145,56.169064
1146,56.18101
1147,56.48633
1148,56.4365
1149,56.41041
1150,56.55938
1151,56.794376
1152,56.87478
1153,56.976307
1154,57.11543
1155,57.122284
1156,57.22049
1157,57.226734
1158,57.195023
1159,57.548107
1160,57.82572
1161,57.76476
1162,57.603397
1163,57.821117
1164,58.04604
1165,58.399338
1166,58.260094
1167,58.17366
1168,58.35484
1169,58.33577
1170,58.19217
1171,58.13461
1172,57.88826
1173,57.681587
1174,57.64896
1175,57.394962
1176,57.25206
1177,57.139366
1178,56.82941
1179,56.855656
1180,56.726505
1181,56.730503
1182,56.73577
1183,56.726757
1184,56.730804
1185,56.74957
1186,56.813507
1187,56.92773
1188,56.56143
1189,56.349796
1190,56.171734
1191,56.383392
1192,56.25971
1193,56.400284
1194,56.48535
1195,56.42466
1196,56.237736
1197,56.31503
1198,56.3137
1199,56.401417
1200,56.408768
1201,56.43056
1202,56.697506
1203,56.667282
1204,56.45551
1205,56.56463
1206,56.391705
1207,56.175816
1208,55.951
1209,56.177486
1210,56.392193
1211,56.325718
1212,55.83158
1213,55.75645
1214,55.903564
1215,55.941998
1216,56.023506
1217,55.74939
1218,55.23416
1219,55.34581
1220,55.147446
1221,54.95614
1222,54.936478
1223,54.810936
1224,54.76687
1225,54.699287
1226,54.76909
1227,54.874653
1228,54.933346
1229,54.738556
1230,54.552284
1231,54.619118
1232,54.482265
1233,54.321095
1234,54.185963
1235,54.174583
1236,54.057507
1237,54.276955
1238,54.300003
1239,54.20691
1240,54.07588
1241,53.818214
1242,53.90398
1243,53.655273
1244,53.34785
1245,53.51556
1246,53.223076
1247,53.004215
1248,53.14537
1249,53.328014
1250,53.269413
1251,53.155533
1252,53.167892
1253,53.16762
1254,53.038315
1255,53.05929
1256,52.942505
1257,52.87776
1258,53.428314
1259,54.437057
1260,55.592552
1261,56.026356
1262,56.441322
1263,56.840805
1264,57.12697
1265,57.28838
1266,57.921295
1267,58.103493
1268,56.624935
1269,55.117035
1270,53.678867
1271,53.057194
1272,52.64659
1273,51.427635
1274,50.942627
1275,50.39333
1276,50.2489
1277,50.565586
1278,50.60726
1279,50.91151
1280,51.482773
1281,52.001644
1282,52.558224
1283,53.76226
1284,54.65562
1285,55.167736
1286,55.904285
1287,56.845863
1288,57.82122
1289,58.404873
1290,58.602997
1291,59.393734
1292,60.31875
1293,60.900684
1294,61.495445
1295,61.95365
1296,62.60817
1297,62.73547
1298,62.945568
1299,63.33262
1300,63.763065
1301,64.09942
1302,64.85406
1303,65.58513
1304,65.92922
1305,66.8344
1306,67.69936
1307,68.33926
1308,67.96065
1309,67.48172
1310,67.40438
1311,67.60977
1312,67.52027
1313,67.41046
1314,67.46909
1315,66.82623
1316,65.9456
1317,65.65095
1318,65.10824
1319,64.65384
1320,64.20606
1321,63.378727
1322,62.867184
1323,63.055435
1324,62.927635
1325,62.80105
1326,62.875168
1327,62.572964
1328,62.54852
1329,62.82788
1330,62.956886
1331,62.90494
1332,62.763256
1333,62.19754
1334,62.03634
1335,62.644615
1336,62.79981
1337,64.776344
1338,65.60676
1339,66.68369
1340,67.56037
1341,68.00618
1342,68.14458
1343,68.20468
1344,68.39708
1345,68.57181
1346,68.67896
1347,68.6181
1348,68.50047
1349,68.77849
1350,68.6738
1351,68.9054
1352,72.37448
1353,75.14311
1354,77.645775
1355,78.665085
1356,78.14818
1357,78.741035
1358,78.74809
1359,79.30752
1360,79.322784
1361,77.26814
1362,75.80636
1363,75.07593
1364,74.49596
1365,74.09948
1366,73.46638
1367,72.783005
1368,72.55061
1369,72.05576
1370,71.39618
1371,70.9296
1372,70.94219
1373,70.60615
1374,70.460915
1375,70.30013
1376,70.01208
1377,69.75007
1378,69.319725
1379,69.106224
1380,68.840065
1381,68.40806
1382,68.24495
1383,68.16514
1384,67.53521
1385,67.37781
1386,67.23754
1387,67.32673
1388,67.72518
1389,67.845726
1390,67.57522
1391,67.746
1392,67.75958
1393,67.647224
1394,67.655464
1395,67.29162
1396,67.10767
1397,66.77057
1398,66.57245
1399,65.939674
1400,65.76785
1401,65.499954
1402,65.184364
1403,65.43079
1404,65.668976
1405,66.48597
1406,66.95499
1407,67.77544
1408,68.891266
1409,69.804474
1410,66.127914
1411,63.299637
1412,61.10202
1413,59.170322
1414,57.900845
1415,57.24786
1416,56.77488
1417,56.572254
1418,56.79545
1419,57.143208
1420,57.224873
1421,57.33316
1422,57.440052
1423,57.631035
1424,57.577267
1425,57.651268
1426,57.641808
1427,58.074234
1428,58.239815
1429,58.29252
1430,58.453014
1431,58.403126
1432,58.343117
1433,58.615738
1434,58.6891
1435,58.729977
1436,58.80877
1437,58.7229
1438,58.70985
1439,58.60067
1440,58.568607
1441,58.360428
1442,58.68788
1443,58.73063
1444,58.669975
1445,58.715576
1446,58.749
1447,58.945534
1448,58.896732
1449,58.719707
1450,58.79158
1451,59.11455
1452,59.061596
1453,59.3333
1454,59.437443
1455,59.556274
1456,59.45907
1457,59.3675
1458,59.157314
1459,59.165436
1460,59.126446
1461,58.97655
1462,58.871586
1463,58.597515
1464,58.265747
1465,58.22644
1466,58.20435
1467,58.06076
1468,58.097008
1469,58.044186
1470,58.03341
1471,57.88597
1472,57.805954
1473,57.90404
1474,57.990864
1475,57.834793
1476,57.806583
1477,57.803047
1478,57.83406
1479,57.75629
1480,57.753136
1481,57.651623
1482,57.68101
1483,57.78683
1484,57.843536
1485,57.653595
1486,57.510708
1487,57.410416
1488,57.45968
1489,57.484653
1490,57.474
1491,57.242477
1492,57.10963
1493,57.193604
1494,57.01038
1495,56.98376
1496,56.73567
1497,56.866264
1498,56.915005
1499,57.022568
1500,56.73126
1501,56.469395
1502,56.740204
1503,56.962887
1504,57.10277
1505,57.236828
1506,57.17641
1507,57.27508
1508,57.34178
1509,57.240654
1510,57.408592
1511,57.59834
1512,57.576675
1513,57.371292
1514,57.533913
1515,57.478355
1516,57.78247
1517,58.022476
1518,58.00919
1519,57.94341
1520,57.789703
1521,57.863094
1522,57.876534
1523,57.82622
1524,57.561214
1525,57.659317
1526,57.629433
1527,57.459644
1528,57.444504
1529,57.49778
1530,57.515636
1531,57.871056
1532,57.867382
1533,57.908916
1534,57.921677
1535,57.742554
1536,57.47959
1537,57.39349
1538,57.264435
