,interval_start_local,interval_end_local,net_load,renewables,renewables_to_load_ratio,primary_power_source,load.load,load_forecast.publish_time_local,load_forecast.load_forecast,fuel_mix.solar,fuel_mix.wind,fuel_mix.geothermal,fuel_mix.biomass,fuel_mix.biogas,fuel_mix.small_hydro,fuel_mix.coal,fuel_mix.nuclear,fuel_mix.natural_gas,fuel_mix.large_hydro,fuel_mix.batteries,fuel_mix.imports,fuel_mix.other,storage.supply,storage.stand_alone_batteries,storage.hybrid_batteries,battery_discharge_to_load_ratio,battery_charge_to_load_ratio
18,2021-12-31 01:30:00-08:00,2021-12-31 01:35:00-08:00,18981,4865,0.22907053394858273,imports,21238,2021-12-30 09:10:00-08:00,21621.21,-40,2297,885,274,209,142,18,2265,7589,1098,-172,8466,0,,,,-0.008098691025520294,0.008033629145259225
19,2021-12-31 01:35:00-08:00,2021-12-31 01:40:00-08:00,18887,4872,0.23006091514378807,imports,21177,2021-12-30 09:10:00-08:00,21571.52333333333,-40,2330,884,274,209,143,19,2266,7522,1072,-171,8455,0,,,,-0.008074798130046749,0.008010118043844857
20,2021-12-31 01:40:00-08:00,2021-12-31 01:45:00-08:00,18748,4928,0.2335434339604758,imports,21101,2021-12-30 09:10:00-08:00,21521.836666666666,-40,2393,884,276,209,144,19,2266,7405,1062,-170,8443,0,,,,-0.008056490213733947,0.007992101922805698
21,2021-12-31 01:45:00-08:00,2021-12-31 01:50:00-08:00,18646,4953,0.23553188454039659,imports,21029,2021-12-30 09:10:00-08:00,21472.15,-40,2423,884,275,208,144,19,2265,7263,1059,-170,8491,0,,,,-0.008084074373484237,0.00801924619085806
22,2021-12-31 01:50:00-08:00,2021-12-31 01:55:00-08:00,18580,5002,0.23849711533876888,imports,20973,2021-12-30 09:10:00-08:00,21422.463333333333,-40,2433,883,273,208,142,19,2265,7122,1103,-183,8565,0,,,,-0.008725504219711057,0.008650028360748723
23,2021-12-31 01:55:00-08:00,2021-12-31 02:00:00-08:00,18547,5030,0.2403938061556108,imports,20924,2021-12-30 09:10:00-08:00,21372.776666666665,-40,2417,883,274,208,142,19,2265,7120,1146,-164,8470,0,,,,-0.007837889504874785,0.007776934749620637
24,2021-12-31 02:00:00-08:00,2021-12-31 02:05:00-08:00,18507,5034,0.2410919540229885,imports,20880,2021-12-30 09:10:00-08:00,21323.09,-40,2413,884,273,208,142,19,2265,6997,1154,-158,8499,0,,,,-0.007567049808429119,0.0075102196026238235
25,2021-12-31 02:05:00-08:00,2021-12-31 02:10:00-08:00,18456,5031,0.2412833916838521,imports,20851,2021-12-30 09:10:00-08:00,21273.403333333335,-40,2435,883,275,208,143,19,2265,6992,1127,-283,8641,0,,,,-0.013572490528032229,0.013390744771458313
26,2021-12-31 02:10:00-08:00,2021-12-31 02:15:00-08:00,18422,5002,0.24034211032096867,imports,20812,2021-12-30 09:10:00-08:00,21223.716666666667,-40,2430,884,277,208,148,19,2265,7050,1095,-307,8723,0,,,,-0.014751105131654814,0.014536673137932667
27,2021-12-31 02:15:00-08:00,2021-12-31 02:20:00-08:00,18408,5023,0.24182754802368686,imports,20771,2021-12-30 09:10:00-08:00,21174.03,-40,2403,885,278,208,149,19,2265,6964,1140,-288,8690,0,,,,-0.01386548553271388,0.013675863051426944
