day,step,charge,discharge,soc
1,0,0.0,2537.2166666667467,17180.87037037028
1,1,0.0,1589.7513333333277,15414.479999999918
1,2,0.0,1482.7513333333286,13766.978518518441
1,3,0.0,1353.7513333333295,12262.810370370296
1,4,0.0,1243.7513333333295,10880.864444444374
1,5,0.0,1147.7513333333295,9605.58518518512
1,6,0.0,1042.7513333333304,8446.97259259253
1,7,0.0,912.7513333333304,7432.804444444386
1,8,0.0,806.7513333333304,6536.414074074019
1,9,0.0,733.7513333333304,5721.134814814763
1,10,0.0,629.7513333333304,5021.411111111062
1,11,0.0,528.7513333333304,4433.909629629584
1,12,0.0,456.7513333333304,3926.4081481481057
1,13,0.0,367.7513333333304,3517.7955555555163
1,14,0.0,285.7513333333304,3200.2940740740382
1,15,0.0,206.75133333333042,2970.570370370338
1,16,0.0,127.75133333333042,2828.624444444415
1,17,0.0,53.75133333333042,2768.900740740715
1,18,0.0,0.0,2768.900740740715
1,19,0.0,0.0,2768.900740740715
1,20,0.0,0.0,2768.900740740715
1,21,0.0,0.0,2768.900740740715
1,22,0.0,0.0,2768.900740740715
1,23,0.0,0.0,2768.900740740715
1,24,0.0,0.0,2768.900740740715
1,25,0.0,0.0,2768.900740740715
1,26,0.0,0.0,2768.900740740715
1,27,0.0,0.0,2768.900740740715
1,28,0.0,0.0,2768.900740740715
1,29,0.0,0.0,2768.900740740715
1,30,0.0,0.0,2768.900740740715
1,31,0.0,0.0,2768.900740740715
1,32,0.0,0.0,2768.900740740715
1,33,0.0,0.0,2768.900740740715
1,34,0.0,0.0,2768.900740740715
1,35,0.0,0.0,2768.900740740715
1,36,0.0,0.0,2768.900740740715
1,37,0.0,0.0,2768.900740740715
1,38,0.0,0.0,2768.900740740715
1,39,0.0,0.0,2768.900740740715
1,40,0.0,0.0,2768.900740740715
1,41,0.0,0.0,2768.900740740715
1,42,0.0,0.0,2768.900740740715
1,43,0.0,0.0,2768.900740740715
1,44,0.0,0.0,2768.900740740715
1,45,0.0,0.0,2768.900740740715
1,46,0.0,0.0,2768.900740740715
1,47,0.0,0.0,2768.900740740715
1,48,0.0,0.0,2768.900740740715
1,49,0.0,0.0,2768.900740740715
1,50,0.0,0.0,2768.900740740715
1,51,0.0,0.0,2768.900740740715
1,52,0.0,0.0,2768.900740740715
1,53,0.0,0.0,2768.900740740715
1,54,0.0,0.0,2768.900740740715
1,55,0.0,0.0,2768.900740740715
1,56,0.0,0.0,2768.900740740715
1,57,0.0,0.0,2768.900740740715
1,58,0.0,0.0,2768.900740740715
1,59,0.0,0.0,2768.900740740715
1,60,0.0,0.0,2768.900740740715
1,61,0.0,0.0,2768.900740740715
1,62,0.0,0.0,2768.900740740715
1,63,0.0,0.0,2768.900740740715
1,64,0.0,0.0,2768.900740740715
1,65,0.0,0.0,2768.900740740715
1,66,0.0,0.0,2768.900740740715
1,67,0.0,0.0,2768.900740740715
1,68,0.0,0.0,2768.900740740715
1,69,0.0,0.0,2768.900740740715
1,70,0.0,0.0,2768.900740740715
1,71,0.0,0.0,2768.900740740715
1,72,0.0,0.0,2768.900740740715
1,73,0.0,0.0,2768.900740740715
1,74,0.0,0.0,2768.900740740715
1,75,0.0,0.0,2768.900740740715
1,76,0.0,0.0,2768.900740740715
1,77,0.0,0.0,2768.900740740715
1,78,0.0,0.0,2768.900740740715
1,79,0.0,0.0,2768.900740740715
1,80,0.0,0.0,2768.900740740715
1,81,0.0,0.0,2768.900740740715
1,82,0.0,0.0,2768.900740740715
1,83,0.0,0.0,2768.900740740715
1,84,0.0,80.75133333333042,2679.1770370370145
1,85,0.0,276.7513333333304,2371.6755555555364
1,86,0.0,419.7513333333304,1905.2851851851692
1,87,0.0,472.7513333333304,1380.005925925913
1,88,0.0,469.7513333333304,858.0599999999904
1,89,0.0,398.7513333333304,415.00296296295653
1,90,0.0,253.75133333333042,133.0570370370338
1,91,0.0,119.75133333333042,0.0
1,92,0.0,0.0,0.0
1,93,0.0,0.0,0.0
1,94,0.0,0.0,0.0
1,95,0.0,0.0,0.0
1,96,0.0,0.0,0.0
1,97,0.0,0.0,0.0
1,98,0.0,0.0,0.0
1,99,0.0,0.0,0.0
1,100,0.0,0.0,0.0
1,101,0.0,0.0,0.0
1,102,0.0,0.0,0.0
1,103,0.0,0.0,0.0
1,104,0.0,0.0,0.0
1,105,0.0,0.0,0.0
1,106,0.0,0.0,0.0
1,107,0.0,0.0,0.0
1,108,0.0,0.0,0.0
1,109,0.0,0.0,0.0
1,110,0.0,0.0,0.0
1,111,0.0,0.0,0.0
1,112,0.0,0.0,0.0
1,113,0.0,0.0,0.0
1,114,0.0,0.0,0.0
1,115,0.0,0.0,0.0
1,116,0.0,0.0,0.0
1,117,0.0,0.0,0.0
1,118,0.0,0.0,0.0
1,119,0.0,0.0,0.0
1,120,0.0,0.0,0.0
1,121,0.0,0.0,0.0
1,122,0.0,0.0,0.0
1,123,0.0,0.0,0.0
1,124,0.0,0.0,0.0
1,125,0.0,0.0,0.0
1,126,0.0,0.0,0.0
1,127,0.0,0.0,0.0
1,128,0.0,0.0,0.0
1,129,0.0,0.0,0.0
1,130,0.0,0.0,0.0
1,131,0.0,0.0,0.0
1,132,0.0,0.0,0.0
1,133,0.0,0.0,0.0
1,134,150.78531111107426,0.0,135.70677999996684
