day,cost,run_time
1,15852525.427014893,1.3224289417266846
2,17993642.626535635,1.2549750804901123
3,19956311.47490785,1.255647897720337
4,17493649.112065397,1.1544058322906494
5,18879552.52554271,1.141753911972046
6,20672211.043984193,1.1399040222167969
7,17798021.584810883,1.1375939846038818
8,15510994.746976696,1.1288189888000488
9,16428500.756272888,1.1161139011383057
10,21778263.809978236,1.119373083114624
11,19834919.764962893,1.1213130950927734
12,21771624.809995264,1.1339528560638428
13,22882070.30416313,1.1219239234924316
14,17908063.512712076,1.1230828762054443
15,20187924.7024563,1.129256248474121
16,16517934.89193212,1.1215786933898926
17,19235514.15211993,1.1186139583587646
18,15460562.34639083,1.831026315689087
19,18354193.976965178,1.1318199634552002
20,19423455.87343003,1.11940598487854
21,15314530.39589522,1.1457982063293457
22,14313084.101195559,1.1180191040039062
23,15401393.391715253,1.1716060638427734
24,17410596.220597226,1.1503732204437256
25,17748036.080127392,1.1352639198303223
26,19492006.915041834,1.120713233947754
27,18844361.46977775,1.1166000366210938
28,19743340.6783021,1.1244409084320068
29,18871295.557184447,1.1254189014434814
30,15176903.73298593,1.1264541149139404
31,20144924.85062732,1.1683368682861328
32,16738598.74523674,2.4877820014953613
33,16703874.536790483,1.1520469188690186
34,19604325.29348986,1.1248493194580078
35,18236232.289251134,1.1237549781799316
36,15258022.337268278,1.1169939041137695
37,14595451.252975477,1.1125431060791016
38,17452661.716554943,1.115408182144165
39,17360591.305822425,1.1244893074035645
40,17741076.238421503,1.174846887588501
41,16810111.501787286,1.2081389427185059
42,16685413.933554167,1.1558120250701904
43,14707147.20183851,1.131809949874878
44,13727679.142616853,1.1279489994049072
45,14125524.427288763,1.158951997756958
46,12385158.21541665,1.117302656173706
47,13741327.622697568,1.125472068786621
48,16827999.53349283,1.1185269355773926
49,17328643.802331496,1.2427430152893066
50,15097728.515539065,1.1469008922576904
51,12159229.73022105,1.1598401069641113
52,11843755.421362387,1.1670961380004883
53,15531736.84262739,1.1240599155426025
54,17398517.96010435,1.220564842224121
55,19772588.810593788,1.1333398818969727
56,19117334.89712845,1.126702070236206
57,17387878.79727741,1.1183850765228271
58,14857548.197512457,1.124250888824463
59,16128528.722001342,1.120516061782837
60,17393954.10817985,1.2102162837982178
61,18080960.867006883,1.1288831233978271
62,17266350.69117979,1.1157138347625732
63,14298101.591760041,1.1199021339416504
64,11379233.106117496,1.126060962677002
65,11558222.503090583,1.1157093048095703
66,15815590.220033458,1.1647322177886963
67,16075639.70929425,1.1578760147094727
68,13914174.555003667,1.159440040588379
69,14174404.893850094,1.138211727142334
70,15782140.970935762,1.1248297691345215
71,13232793.162402287,1.1454458236694336
72,10160662.756137159,1.1324059963226318
73,13939598.673358725,1.222208023071289
74,13690987.527108118,1.1421890258789062
75,11914586.671296692,1.1575250625610352
76,14391581.513893409,1.1604828834533691
77,15023987.5230629,1.2010807991027832
78,13681330.711927166,1.1334679126739502
79,8326096.766995036,1.1216998100280762
80,12538977.006355738,1.1222991943359375
81,15718774.854575487,1.1535799503326416
82,16258425.507153967,1.1271398067474365
83,15626786.202237362,1.1254568099975586
84,16038563.5040898,1.189527988433838
85,12431331.76571025,1.224280834197998
86,10326691.994114183,1.1668827533721924
87,16029948.951448224,1.2035751342773438
88,10099436.665444667,23.111059188842773
89,11432049.75384183,1.2458477020263672
90,11698692.328908747,1.2041890621185303
91,12980940.953091606,1.1805100440979004
92,10443997.828410607,1.129396915435791
93,7706112.230890475,1.126317024230957
94,10381541.343102528,1.1276910305023193
95,11677739.956760073,1.1340548992156982
96,16392652.81237886,1.1299960613250732
97,19919249.81122918,1.1221177577972412
98,19509108.57363696,1.119178295135498
99,10268344.120826785,1.125931978225708
100,8390411.125081254,1.1677429676055908
101,10774267.395012109,1.169888973236084
102,11429273.454502165,1.1503028869628906
103,12985695.155342227,1.1314971446990967
104,11756755.203019172,1.1301400661468506
105,10355279.643382521,1.1306369304656982
106,8776477.47458033,1.1262967586517334
107,8187002.964785274,1.1337049007415771
108,10852174.129988888,1.2469470500946045
109,11020351.325934874,1.1529979705810547
110,10345265.312340073,1.1319479942321777
111,11689523.477504501,1.112771987915039
112,9714377.567996575,1.115265130996704
113,9148972.751280408,1.119966983795166
114,10927543.501588887,1.130462884902954
115,14257708.136896906,1.1227340698242188
116,13115719.783467723,1.132962703704834
117,9945078.090756232,1.1420228481292725
118,10474619.626740871,1.11800217628479
119,11808641.266132146,1.109978199005127
120,9435996.284647608,1.1164031028747559
121,8101144.99869665,1.1667888164520264
122,11130483.793023871,1.1533520221710205
123,12343444.956002092,1.1246740818023682
124,14703443.890709639,1.1133599281311035
125,13586179.996363575,1.116142988204956
126,11479820.705020824,1.1233909130096436
127,8767348.959493859,1.123918056488037
128,7405559.130234395,1.115488052368164
129,10164417.184456827,1.1304349899291992
130,10684052.258446952,1.1204237937927246
131,10957048.483738007,1.2280941009521484
132,11693999.60247068,1.1348540782928467
133,13199670.236891394,1.122987985610962
134,14692918.392161585,1.1232178211212158
135,11632638.761769772,1.12211012840271
136,10056136.077732103,1.12910795211792
137,10556097.87360955,1.121791124343872
138,14217031.11133641,1.152677297592163
139,13552036.973555608,1.1346566677093506
140,10828174.509985695,1.1192712783813477
141,10765706.333342014,1.1360530853271484
142,9776052.543619022,1.1636149883270264
143,12820433.49292876,1.1548881530761719
144,18793385.14425708,1.1394522190093994
145,20909301.170785535,1.1177620887756348
146,16037745.035445353,1.1139278411865234
147,12699983.220162129,1.1667301654815674
148,8904599.617252557,1.1432499885559082
149,8388250.09707769,1.132727861404419
150,9184193.320360838,1.1197679042816162
151,13209900.289572908,1.1195976734161377
152,16152388.653746113,1.139714002609253
153,15068808.54045783,1.1295068264007568
154,12749350.927927546,1.141059160232544
155,11057651.934868712,1.160768985748291
156,10673081.464853639,1.152756929397583
157,13423542.096921315,1.1385951042175293
158,14737844.163266057,1.1368298530578613
159,15852898.012643298,1.2187578678131104
160,21169598.029492095,1.1433048248291016
161,24658756.228935216,1.1495959758758545
162,17370947.01411337,1.1293697357177734
163,12768598.608446093,1.1642777919769287
164,13991040.165495872,1.1747479438781738
165,15963479.898532132,1.1587326526641846
166,19472206.172698103,1.1399071216583252
167,17232657.14747133,1.1111900806427002
168,13564358.368988583,1.1220438480377197
169,10659809.601897504,1.113900899887085
170,11462239.322173104,1.1310358047485352
171,21095327.239028838,1.1256587505340576
172,27788482.89535488,1.1206719875335693
173,32071744.187958956,1.1136088371276855
174,29168873.732067913,1.121732234954834
175,26755257.636481002,1.8911397457122803
176,20464431.132089112,1.2083048820495605
177,20348435.551930785,1.17042875289917
178,28401369.982959315,1.133681297302246
179,26984149.908932578,1.128957986831665
180,23715632.414761305,1.112898826599121
181,20065599.52155738,1.1184990406036377
182,19156424.31745048,1.1603879928588867
183,13772036.215963094,1.129249095916748
184,10717187.665165562,1.1257610321044922
185,11574849.37495783,1.1294078826904297
186,17058690.97667901,1.1171770095825195
187,18413925.612518277,1.1199028491973877
188,20809629.498221617,1.1520121097564697
189,21614794.955526125,1.1652448177337646
190,17645279.99008473,1.1320700645446777
191,20396165.78984498,1.1163241863250732
192,26577051.41786218,1.1174488067626953
193,22925748.282700602,1.2066659927368164
194,23525323.085228484,1.1448390483856201
195,26493019.493506376,1.1246318817138672
196,27259314.06770649,1.193615198135376
197,25639438.71795198,1.1639070510864258
198,25838786.141295988,1.135693073272705
199,32529522.14031389,1.1231138706207275
200,29146720.102699395,1.1739628314971924
201,26887419.380321596,1.1455812454223633
202,24174249.045159236,1.1189329624176025
203,21990994.06875402,1.129894733428955
204,19292376.602789935,1.1203298568725586
205,19719053.278286703,1.119140863418579
206,25928371.62304796,1.115612268447876
207,25945220.914745513,1.1243441104888916
208,24660328.84723605,1.1567530632019043
209,26033150.249078933,1.156937837600708
210,27856459.30175889,1.1434407234191895
211,26948724.692866948,1.1167168617248535
212,26210099.462158665,1.1227118968963623
213,32798067.718302984,1.1326661109924316
214,29129872.012231085,1.1461961269378662
215,31231874.329227332,1.1229047775268555
216,35853249.02551891,1.1227929592132568
217,30067077.706925344,1.1198530197143555
218,22277632.109293226,1.1301093101501465
219,22912263.152649965,1.1259901523590088
220,31083904.79848619,1.1723151206970215
221,32879262.317588855,1.1571629047393799
222,32544911.454104632,1.1360650062561035
223,31002193.315846086,1.1271729469299316
224,29073326.004270535,1.1256330013275146
225,26906487.2541444,1.1342730522155762
226,25099960.684278548,1.1316311359405518
227,33108745.069735248,1.1211860179901123
228,39450897.11008548,1.1245582103729248
229,35806970.05038539,1.1164302825927734
230,30330392.88427198,1.1193809509277344
231,29068778.732456338,1.117016077041626
232,24792874.827304553,1.1647191047668457
233,20335203.13232108,59.294106245040894
234,25366472.939615745,1.2646970748901367
235,32157495.413493264,1.1519980430603027
236,34026472.87847128,1.1235530376434326
237,31566024.634804014,1.131756067276001
238,28849403.195496112,1.1280059814453125
239,21266667.555566173,1.1244633197784424
240,20222089.535456136,1.1451869010925293
241,27768839.91472214,1.13460111618042
242,31593029.36539009,1.119624376296997
243,36862369.28743,1.1251020431518555
244,42525890.80051315,1.1231801509857178
245,38188181.02266453,1.1605181694030762
246,38578044.76001445,1.1560959815979004
247,40648589.099521436,1.1479439735412598
248,50364616.63806162,1.1179771423339844
249,58168175.3232626,1.120676040649414
250,53688564.27790504,1.126596212387085
251,58251412.218138814,1.126682996749878
252,45417452.92232367,1.118661880493164
253,32575005.514355227,1.119497299194336
254,30708739.345898826,1.123556137084961
255,33122708.813176777,1.1157655715942383
256,23908028.688734353,1.126899003982544
257,20824950.88374318,1.1614389419555664
258,18345619.417109083,1.2028679847717285
259,17534372.878955703,1.144982099533081
260,13962691.36128196,1.1250801086425781
261,14776383.787676444,1.1452548503875732
262,19215808.774893906,1.1383252143859863
263,20187670.23059237,1.1224219799041748
264,18121794.50272201,1.1200110912322998
265,19727941.178834226,1.1299388408660889
266,23712675.483521547,1.1265408992767334
267,23558935.082514733,1.131239891052246
268,21431936.37643792,1.1332409381866455
269,27503426.13523392,1.1672921180725098
270,28146602.673695907,1.1551897525787354
271,27702049.05172794,1.1311390399932861
272,25434064.111933377,1.127194881439209
273,21752632.54979241,1.1189789772033691
274,16249320.348723881,1.1241798400878906
275,15416838.135335013,1.2428131103515625
276,20769529.570227694,1.498680830001831
277,23308396.96457802,1.1640222072601318
278,24230094.000998016,1.1458821296691895
279,24363146.236502618,1.1370317935943604
280,24825400.91294918,1.1395459175109863
281,21422442.85639365,1.2230956554412842
282,19099688.057498734,1.1578598022460938
283,22766317.50573976,72.07651686668396
284,21170099.949824195,1.1770930290222168
285,20675054.271424428,1.151158094406128
286,20696845.981081743,1.1201050281524658
287,19489034.776563857,1.121230125427246
288,15980396.913049556,1.1234910488128662
289,14492687.717043668,1.1221959590911865
290,20080376.7905259,1.1243739128112793
291,22015168.0074116,1.1316509246826172
292,24591938.81126493,1.1214208602905273
293,24786056.865145553,1.127335786819458
294,18651694.123744532,1.1213610172271729
295,11778270.12643639,1.1642379760742188
296,11193429.76465123,1.1619999408721924
297,16535245.535510784,1.1304051876068115
298,15451532.883083703,1.1213791370391846
299,14485408.125812272,1.1289820671081543
300,16668639.473381853,1.1203529834747314
301,18752528.762276098,1.2021589279174805
302,15137974.529991658,1.122973918914795
303,15022243.259037873,1.1320970058441162
304,19952127.521752533,1.1287870407104492
305,16368543.354881816,1.121622085571289
306,14283239.763815336,1.1185131072998047
307,14703368.754781462,1.1486032009124756
308,16436688.620710226,1.1582989692687988
309,12065609.244949235,1.1308531761169434
310,12163590.789712451,1.122138261795044
311,17493118.72151598,1.1234769821166992
312,18905297.87581509,1.1170759201049805
313,15452193.89542382,1.1347599029541016
314,17537778.009484224,1.123309850692749
315,18627963.055852506,1.1234409809112549
316,14631134.397078658,1.1238951683044434
317,13813929.784307567,1.1348121166229248
318,19052961.252478153,1.124769926071167
319,18456461.9731877,1.1998538970947266
320,18379634.774985533,1.1552479267120361
321,18815313.81904189,1.125187873840332
322,18991874.942516524,1.1150479316711426
323,16164878.166012319,1.1257519721984863
324,16504181.445252545,1.1255989074707031
325,20849245.283808168,1.1191329956054688
326,20028349.14438424,1.1260509490966797
327,17851111.903500065,1.1191861629486084
328,12975134.84328506,1.1543009281158447
329,14935197.212340182,1.130368947982788
330,13844099.39274443,1.1199488639831543
331,14781178.717328778,1.156477928161621
332,14125848.84682134,1.189173936843872
333,17788726.986626234,1.137700080871582
334,21180445.696351748,1.1219630241394043
335,20536103.37693861,1.1414709091186523
336,21528512.623968624,1.1183419227600098
337,21954740.35039408,1.1349000930786133
338,16084313.734234283,1.1196179389953613
339,15783198.884817375,1.1288888454437256
340,19516737.986551147,1.1265342235565186
341,21117976.774938855,1.120124101638794
342,22439315.15741996,1.1261000633239746
343,20473750.78975064,1.1568009853363037
344,18470505.186306495,1.2140588760375977
345,15198036.137599988,1.136904001235962
346,21484185.601755157,1.173462152481079
347,21412425.307722785,1.1271631717681885
348,22805089.876717746,1.1165862083435059
349,23609913.198897853,1.1792449951171875
350,22315703.99172869,1.159837245941162
351,20433689.97487241,1.1628789901733398
352,19337456.754982613,1.1346919536590576
353,23816419.153932516,1.1692821979522705
354,23983268.944910515,1.1315300464630127
355,22132855.38711025,1.1135978698730469
356,23470790.535933632,1.1240720748901367
357,20294772.49484428,1.1224498748779297
358,17362737.35041574,1.1211040019989014
359,15469468.032324402,1.118506908416748
360,18939838.18857513,1.1282329559326172
361,18814064.067579474,1.1182200908660889
362,14634163.480282843,1.1242742538452148
363,20694505.812739875,1.1732521057128906
364,15918723.0039241,1.1644198894500732
365,15414251.56784088,1.1376068592071533
