Episode,Step,Discharge,Charge,Real_Time_Price,Unadjusted_Charge_Bid,Unadjusted_Discharge_Bid,Adjusted_Charge_Bid,Adjusted_Discharge_Bid,Action_Charge_Adjustment,Action_Discharge_Adjustment,Reward
0,0,0.0,0.0,74.71196517094016,[48.61918],[80.02368],[48.61917877],[80.02368164],0.0,0.0,0.0
0,1,0.0,0.0,74.71196517094016,[48.56699],[79.95925],[48.5669899],[79.9592514],0.0,0.0,0.0
0,2,0.0,0.0,74.71196517094016,[48.770958],[80.21106],[48.77095795],[80.21105957],0.0,0.0,0.0
0,3,0.0,0.0,74.71196517094016,[48.835228],[80.290405],[48.83522797],[80.29040527],0.0,0.0,0.0
0,4,0.0,0.0,74.71196517094016,[48.838467],[80.2944],[48.83846664],[80.29440308],0.0,0.0,0.0
0,5,0.0,0.0,74.71196517094016,[48.910416],[80.38323],[48.91041565],[80.38323212],0.0,0.0,0.0
0,6,0.0,0.0,74.71196517094016,[49.021854],[80.52081],[49.0218544],[80.52081299],0.0,0.0,0.0
0,7,0.0,0.0,74.71196517094016,[49.149208],[80.67804],[49.14920807],[80.67803955],0.0,0.0,0.0
0,8,0.0,0.0,74.71196517094016,[49.095997],[80.61235],[49.09599686],[80.61235046],0.0,0.0,0.0
0,9,0.0,0.0,74.71196517094016,[48.944016],[80.42471],[48.9440155],[80.42471313],0.0,0.0,0.0
0,10,0.0,0.0,74.71196517094016,[48.939125],[80.41868],[48.93912506],[80.41867828],0.0,0.0,0.0
0,11,0.0,0.0,74.71196517094016,[48.937904],[80.41717],[48.93790436],[80.41716766],0.0,0.0,0.0
0,12,0.0,0.0,74.71196517094016,[48.931324],[80.40904],[48.93132401],[80.40904236],0.0,0.0,0.0
0,13,0.0,0.0,74.71196517094016,[48.81508],[80.26553],[48.81507874],[80.26553345],0.0,0.0,0.0
0,14,0.0,0.0,74.71196517094016,[48.761814],[80.19977],[48.76181412],[80.19976807],0.0,0.0,0.0
0,15,0.0,0.0,74.71196517094016,[48.75901],[80.19632],[48.75901031],[80.19631958],0.0,0.0,0.0
0,16,0.0,0.0,74.71196517094016,[48.74427],[80.178116],[48.74427032],[80.17811584],0.0,0.0,0.0
0,17,0.0,0.0,74.71196517094016,[48.691395],[80.11284],[48.69139481],[80.11283875],0.0,0.0,0.0
0,18,0.0,0.0,74.71196517094016,[48.625217],[80.03114],[48.62521744],[80.03114319],0.0,0.0,0.0
0,19,0.0,0.0,74.71196517094016,[48.577755],[79.97254],[48.57775497],[79.97254181],0.0,0.0,0.0
0,20,0.0,0.0,74.71196517094016,[48.593864],[79.99243],[48.59386444],[79.99243164],0.0,0.0,0.0
0,21,0.0,0.0,74.71196517094016,[48.380157],[79.72859],[48.38015747],[79.72859192],0.0,0.0,0.0
