,interval_start_local,interval_end_local,load_forecast.load_forecast,net_load,renewables,renewables_to_load_ratio,load.load,fuel_mix.solar,fuel_mix.wind,fuel_mix.geothermal,fuel_mix.biomass,fuel_mix.biogas,fuel_mix.small_hydro,fuel_mix.coal,fuel_mix.nuclear,fuel_mix.natural_gas,fuel_mix.large_hydro,fuel_mix.batteries,fuel_mix.imports,fuel_mix.other
1442,2023-03-02 02:00:00-08:00,2023-03-02 03:00:00-08:00,21831.197083333333,17830.333333333332,7101.583333333333,0.3226770162817114,22008.33333333333,-19.08333333333333,4197.083333333333,721.8333333333334,259.0,201.0,188.41666666666663,2.75,2263.25,9566.0,1553.3333333333333,-297.3333333333333,4820.416666666667,0.0
1443,2023-03-02 03:00:00-08:00,2023-03-02 04:00:00-08:00,21871.983125,17695.25,7529.666666666667,0.3414350277362112,22053.0,-19.75,4377.5,722.0,261.25,201.25,188.0,3.0,2263.25,9299.666666666666,1799.4166666666667,-91.08333333333331,4542.166666666667,0.0
1444,2023-03-02 04:00:00-08:00,2023-03-02 05:00:00-08:00,22522.370208333334,19558.416666666668,6598.5,0.291804402383611,22612.75,-20.08333333333333,3074.4166666666665,751.6666666666666,263.8333333333333,201.25,189.91666666666663,2.833333333333333,2263.4166666666665,9940.083333333334,2137.5,246.16666666666663,4807.083333333333,0.0
1445,2023-03-02 05:00:00-08:00,2023-03-02 06:00:00-08:00,24108.243125,21719.08333333333,6454.25,0.2660842320073383,24256.416666666668,-20.0,2557.333333333333,801.8333333333334,266.6666666666667,200.5,194.0,2.1666666666666665,2264.083333333333,11336.666666666668,2453.9166666666665,1081.5,4343.916666666667,0.0
1446,2023-03-02 06:00:00-08:00,2023-03-02 07:00:00-08:00,26026.41083333333,24154.25,6634.333333333333,0.2508017515672747,26452.5,484.25,1814.0,830.0,273.0833333333333,199.08333333333331,193.5,3.0,2264.1666666666665,12956.416666666668,2840.4166666666665,2079.583333333333,3695.5,0.0
1447,2023-03-02 07:00:00-08:00,2023-03-02 08:00:00-08:00,26077.693958333333,19055.58333333333,11063.916666666668,0.4191128887149166,26398.416666666668,6057.666666666667,1285.1666666666667,829.6666666666666,272.75,201.0,191.16666666666663,3.0,2263.1666666666665,11251.0,2226.5,441.1666666666667,2707.583333333333,0.0
1448,2023-03-02 08:00:00-08:00,2023-03-02 09:00:00-08:00,24329.35208333333,11249.416666666668,16218.583333333332,0.6705773312384575,24186.0,11750.583333333332,1186.0,826.0,274.6666666666667,195.5,191.16666666666663,3.5,2262.25,7731.416666666667,1794.6666666666667,-637.75,859.0,0.0
1449,2023-03-02 09:00:00-08:00,2023-03-02 10:00:00-08:00,22327.846666666668,7577.833333333333,17052.75,0.7801933011800141,21857.08333333333,13138.416666666668,1140.8333333333333,824.5,274.75,192.91666666666663,187.75,3.75,2262.583333333333,5651.0,1293.5833333333333,-785.3333333333334,419.5833333333333,0.0
1450,2023-03-02 10:00:00-08:00,2023-03-02 11:00:00-08:00,20632.59895833333,5014.5,17111.25,0.8721182106997842,19620.33333333333,13370.333333333332,1235.5,804.4166666666666,279.0,194.16666666666663,193.16666666666663,3.4166666666666665,2262.25,5829.916666666667,1034.6666666666667,-1154.5833333333333,-922.75,0.0
1451,2023-03-02 11:00:00-08:00,2023-03-02 12:00:00-08:00,19333.5425,3357.6666666666665,17009.166666666668,0.9344455177654982,18202.416666666668,13629.666666666668,1215.0833333333333,701.9166666666666,293.1666666666667,191.08333333333331,196.0,3.583333333333333,2262.833333333333,6160.333333333333,782.25,-1715.0,-1179.25,0.0
1452,2023-03-02 12:00:00-08:00,2023-03-02 13:00:00-08:00,18659.51375,2938.0,16403.833333333332,0.9452525126412384,17353.916666666668,13120.916666666668,1295.0,720.8333333333334,295.25,191.08333333333331,195.58333333333331,3.9166666666666665,2263.583333333333,6150.583333333333,585.1666666666666,-2067.25,-524.75,0.0
1453,2023-03-02 13:00:00-08:00,2023-03-02 14:00:00-08:00,18762.610416666663,3295.833333333333,15892.583333333332,0.9227133076904468,17223.75,12613.083333333332,1314.8333333333333,761.6666666666666,297.6666666666667,197.41666666666663,194.75,3.333333333333333,2263.0,6486.583333333333,513.1666666666666,-2251.9166666666665,-109.08333333333331,0.0
1454,2023-03-02 14:00:00-08:00,2023-03-02 15:00:00-08:00,19489.896458333333,4410.25,15204.166666666668,0.8632763335951473,17612.166666666668,11802.75,1399.1666666666667,738.3333333333334,288.1666666666667,201.25,198.41666666666663,3.5,2263.083333333333,5938.833333333333,576.0833333333334,-1555.3333333333333,83.41666666666667,0.0
1455,2023-03-02 15:00:00-08:00,2023-03-02 16:00:00-08:00,20742.24875,6859.166666666667,14449.833333333332,0.7625610737546671,18949.08333333333,11014.583333333332,1075.3333333333333,736.25,284.3333333333333,202.83333333333331,198.75,3.1666666666666665,2263.6666666666665,6654.0,937.75,-868.5833333333334,-156.16666666666666,0.0
1456,2023-03-02 16:00:00-08:00,2023-03-02 17:00:00-08:00,23005.60145833333,12450.916666666668,11967.416666666668,0.5643832063288702,21204.416666666668,7666.5,1087.0,736.4166666666666,288.0833333333333,202.75,214.08333333333331,4.25,2263.583333333333,8106.833333333333,1772.5833333333333,-51.333333333333336,1156.75,0.0
1457,2023-03-02 17:00:00-08:00,2023-03-02 18:00:00-08:00,25891.05416666667,21684.58333333333,7009.583333333333,0.2882644843350537,24316.5,1480.5,1151.4166666666667,773.5833333333334,284.5833333333333,203.33333333333331,217.41666666666663,4.416666666666667,2262.4166666666665,10074.333333333334,2898.75,1349.75,5023.25,0.0
1458,2023-03-02 18:00:00-08:00,2023-03-02 19:00:00-08:00,27916.4975,25450.08333333333,6049.5,0.2267988415432343,26673.416666666668,-22.83333333333333,1246.1666666666667,806.4166666666666,280.0833333333333,202.58333333333331,216.91666666666663,3.583333333333333,2262.5,11885.916666666668,3320.1666666666665,1775.4166666666667,6047.75,0.0
1459,2023-03-02 19:00:00-08:00,2023-03-02 20:00:00-08:00,28063.345416666667,25177.5,6274.75,0.2335464180368292,26867.25,-27.33333333333333,1717.0833333333333,788.4166666666666,278.25,202.58333333333331,216.66666666666663,3.4166666666666665,2263.4166666666665,11795.166666666668,3099.083333333333,1412.0833333333333,6420.75,0.0
1460,2023-03-02 20:00:00-08:00,2023-03-02 21:00:00-08:00,27490.36,24641.25,6324.0,0.2382803423741373,26540.166666666668,-27.58333333333333,1926.5,787.0833333333334,278.0833333333333,203.33333333333331,207.66666666666663,3.333333333333333,2264.333333333333,11545.75,2948.9166666666665,1195.6666666666667,6539.333333333333,0.0
1461,2023-03-02 21:00:00-08:00,2023-03-02 22:00:00-08:00,26585.88708333333,23460.5,6307.166666666667,0.2439603015739478,25853.25,-28.0,2420.75,787.5,284.5,203.5,200.08333333333331,2.75,2264.5,11469.083333333332,2438.833333333333,750.0833333333334,6471.75,0.0
1462,2023-03-02 22:00:00-08:00,2023-03-02 23:00:00-08:00,25243.99916666667,21145.0,6856.083333333333,0.2805548830183017,24437.58333333333,-28.33333333333333,3320.9166666666665,789.0833333333334,280.5833333333333,203.33333333333331,200.66666666666663,2.833333333333333,2264.4166666666665,10814.916666666666,2089.833333333333,32.833333333333336,5956.583333333333,0.0
1463,2023-03-02 23:00:00-08:00,2023-03-03 00:00:00-08:00,23820.962916666667,20296.75,6194.083333333333,0.2684161680214649,23076.416666666668,-28.166666666666668,2807.833333333333,789.0,276.3333333333333,203.75,200.33333333333331,3.0,2264.4166666666665,10096.833333333334,1945.0,13.833333333333334,5794.083333333333,0.0
1464,2023-03-03 00:00:00-08:00,2023-03-03 01:00:00-08:00,22534.284166666668,19382.83333333333,6040.5,0.2721538473090988,22195.166666666668,-28.0,2840.333333333333,788.3333333333334,276.8333333333333,205.58333333333331,188.33333333333331,3.083333333333333,2264.5,10231.416666666666,1769.0833333333333,-148.33333333333334,5325.5,0.0
1465,2023-03-03 01:00:00-08:00,2023-03-03 02:00:00-08:00,21734.181666666667,18481.75,6202.916666666667,0.2885614377868751,21496.0,-28.0,3042.25,788.9166666666666,268.25,206.5,185.91666666666663,2.9166666666666665,2264.583333333333,10238.75,1739.0833333333333,-380.9166666666667,4960.916666666667,0.0
1466,2023-03-03 02:00:00-08:00,2023-03-03 03:00:00-08:00,21282.040416666667,17818.833333333332,6364.416666666667,0.3024373824373824,21043.75,-28.916666666666668,3253.833333333333,788.9166666666666,276.9166666666667,207.0,186.83333333333331,2.833333333333333,2264.75,10329.583333333334,1679.8333333333333,-547.1666666666666,4637.083333333333,0.0
1467,2023-03-03 03:00:00-08:00,2023-03-03 04:00:00-08:00,21298.303541666668,17688.75,6460.833333333333,0.3077393285543039,20994.5,-29.916666666666668,3335.6666666666665,789.3333333333334,278.3333333333333,205.91666666666663,189.16666666666663,2.833333333333333,2264.333333333333,10177.666666666666,1692.3333333333333,-611.3333333333334,4758.833333333333,0.0
